Vertices,Density,Time taken(ms)
1,50,25
2,50,12
3,50,19
4,50,24
5,50,38
6,50,39
7,50,56
8,50,71
9,50,80
10,50,90
11,50,92
12,50,109
13,50,127
14,50,132
15,50,170
16,50,183
17,50,187
18,50,211
19,50,236
20,50,249
21,50,250
22,50,274
23,50,419
24,50,316
25,50,390
26,50,351
27,50,463
28,50,396
29,50,437
30,50,485
31,50,546
32,50,543
33,50,526
34,50,556
35,50,716
36,50,607
37,50,704
38,50,785
39,50,724
40,50,702
41,50,724
42,50,777
43,50,798
44,50,816
45,50,940
46,50,922
47,50,928
48,50,966
49,50,1039
50,50,1033
51,50,1058
52,50,1298
53,50,1128
54,50,1143
55,50,1313
56,50,1267
57,50,1281
58,50,1251
59,50,1294
60,50,1325
61,50,1396
62,50,1663
63,50,1469
64,50,1611
65,50,1485
66,50,1519
67,50,1540
68,50,1550
69,50,1744
70,50,1775
71,50,1868
72,50,1648
73,50,1877
74,50,1879
75,50,1767
76,50,1789
77,50,1968
78,50,1983
79,50,1940
80,50,2241
81,50,1968
82,50,2352
83,50,2027
84,50,2015
85,50,2033
86,50,2033
87,50,2393
88,50,2265
89,50,2287
90,50,2276
91,50,2221
92,50,2464
93,50,2443
94,50,2374
95,50,2355
96,50,2792
97,50,2453
98,50,2682
99,50,2561
100,50,2461
101,50,2574
102,50,2736
103,50,2690
104,50,2668
105,50,3028
106,50,2811
107,50,3070
108,50,2786
109,50,3031
110,50,2851
111,50,2892
112,50,2939
113,50,3120
114,50,3105
115,50,3465
116,50,3264
117,50,3171
118,50,3533
119,50,3216
120,50,3278
121,50,3545
122,50,3452
123,50,3537
124,50,3343
125,50,3428
126,50,3431
127,50,3506
128,50,3889
129,50,3689
130,50,3686
131,50,3684
132,50,4016
133,50,3624
134,50,3720
135,50,4051
136,50,4377
137,50,3881
138,50,3895
139,50,4013
140,50,4231
141,50,3968
142,50,4337
143,50,4043
144,50,4185
145,50,5343
146,50,4121
147,50,4426
148,50,4527
149,50,4658
150,50,4517
151,50,4372
152,50,4601
153,50,4864
154,50,4473
155,50,4648
156,50,4652
157,50,4884
158,50,4860
159,50,4698
160,50,4777
161,50,4829
162,50,5270
163,50,5098
164,50,5161
165,50,5346
166,50,5358
167,50,5199
168,50,5197
169,50,5655
170,50,5331
171,50,6961
172,50,5216
173,50,5962
174,50,5388
175,50,5372
176,50,5676
177,50,5707
178,50,5837
179,50,5924
180,50,5847
181,50,5712
182,50,5650
183,50,6070
184,50,5839
185,50,5881
186,50,5919
187,50,5951
188,50,5996
189,50,6158
190,50,6239
191,50,6236
192,50,6138
193,50,6631
194,50,6576
195,50,6409
196,50,6355
197,50,6587
198,50,6922
199,50,6525
200,50,6680
201,50,6697
202,50,6977
203,50,6501
204,50,7163
205,50,6620
206,50,6831
207,50,7935
208,50,7022
209,50,7135
210,50,7191
211,50,6939
212,50,7146
213,50,7607
214,50,7427
215,50,7402
216,50,7747
217,50,7595
218,50,7961
219,50,7712
220,50,7488
221,50,8069
222,50,7406
223,50,7452
224,50,7825
225,50,8071
226,50,7613
227,50,7692
228,50,7770
229,50,7793
230,50,8187
231,50,8137
232,50,8291
233,50,8240
234,50,8183
235,50,8203
236,50,10234
237,50,8333
238,50,8446
239,50,8984
240,50,8582
241,50,8529
242,50,9933
243,50,9180
244,50,9432
245,50,8876
246,50,8923
247,50,9380
248,50,9022
249,50,9237
250,50,9430
251,50,11970
252,50,9175
253,50,9290
254,50,9788
255,50,9140
256,50,9310
257,50,9652
258,50,9053
259,50,10182
260,50,10062
261,50,9696
262,50,9797
263,50,10024
264,50,9552
265,50,9943
266,50,10006
267,50,10178
268,50,10273
269,50,10377
270,50,10257
271,50,10246
272,50,10851
273,50,11336
274,50,10827
275,50,10777
276,50,11049
277,50,10706
278,50,10727
279,50,11274
280,50,10927
281,50,11085
282,50,11338
283,50,11185
284,50,11191
285,50,10914
286,50,11320
287,50,11673
288,50,11051
289,50,11693
290,50,11321
291,50,11743
292,50,11601
293,50,11373
294,50,12005
295,50,12043
296,50,11703
297,50,11923
298,50,11693
299,50,13127
300,50,12116
301,50,12056
302,50,12124
303,50,12293
304,50,12414
305,50,12805
306,50,12996
307,50,12232
308,50,12276
309,50,12331
310,50,13487
311,50,12913
312,50,12823
313,50,13344
314,50,13029
315,50,13209
316,50,13316
317,50,12902
318,50,13168
319,50,13096
320,50,12997
321,50,13535
322,50,13486
323,50,14012
324,50,13846
325,50,13758
326,50,13813
327,50,13839
328,50,13697
329,50,13731
330,50,13617
331,50,14159
332,50,14322
333,50,14331
334,50,13835
335,50,13937
336,50,14673
337,50,14656
338,50,14258
339,50,15505
340,50,14106
341,50,15873
342,50,18607
343,50,14816
344,50,16601
345,50,14758
346,50,14799
347,50,15373
348,50,14938
349,50,15323
350,50,15137
351,50,15122
352,50,15435
353,50,15253
354,50,15808
355,50,15683
356,50,15551
357,50,15686
358,50,15693
359,50,16111
360,50,16078
361,50,16090
362,50,18672
363,50,16916
364,50,15957
365,50,16439
366,50,16389
367,50,16543
368,50,19008
369,50,16438
370,50,16342
371,50,16849
372,50,16634
373,50,16930
374,50,17035
375,50,16878
376,50,17079
377,50,17340
378,50,17592
379,50,17376
380,50,18041
381,50,17942
382,50,17557
383,50,17740
384,50,18331
385,50,18132
386,50,17794
387,50,20343
388,50,17630
389,50,17936
390,50,18670
391,50,18357
392,50,18279
393,50,18588
394,50,18790
395,50,18458
396,50,19396
397,50,18508
398,50,19119
399,50,18682
400,50,19647
401,50,19192
402,50,19602
403,50,19408
404,50,19269
405,50,20928
406,50,19509
407,50,20734
408,50,19453
409,50,19630
410,50,20335
411,50,19717
412,50,19455
413,50,19740
414,50,20561
415,50,20018
416,50,20541
417,50,19850
418,50,23102
419,50,20480
420,50,20225
421,50,20367
422,50,20393
423,50,22408
424,50,20920
425,50,22509
426,50,20515
427,50,21211
428,50,20879
429,50,21325
430,50,21152
431,50,21163
432,50,21305
433,50,22074
434,50,22195
435,50,21173
436,50,21732
437,50,21698
438,50,23514
439,50,22361
440,50,22328
441,50,21821
442,50,22042
443,50,22472
444,50,22405
445,50,23878
446,50,22308
447,50,22864
448,50,23137
449,50,25043
450,50,22863
451,50,22826
452,50,23219
453,50,23687
454,50,23228
455,50,23576
456,50,22977
457,50,23779
458,50,24009
459,50,23621
460,50,23964
