Size(n),S,Key Comparisons,Time(ms),Time(s)
1260000,32,26330510,98.1165,0.09811650000000001
1270000,32,26588910,98.07889999999999,0.09807890000000001
1280000,32,26844652,99.86009999999999,0.09986010000000001
1290000,32,27116774,100.82339999999999,0.10082340000000001
1300000,32,27378479,101.1111,0.10111110000000001
1310000,32,27634203,101.9503,0.10195030000000001
1320000,32,27902126,102.1574,0.10215740000000001
1330000,32,28161846,103.4504,0.10345040000000001
1340000,32,28426554,103.8393,0.10383930000000001
1350000,32,28693118,104.4486,0.1044486
1360000,32,28964764,107.33279999999999,0.1073328
1370000,32,29230099,106.3967,0.10639670000000001
1380000,32,29494961,107.9259,0.1079259
1390000,32,29755291,107.68979999999999,0.1076898
1400000,32,30025058,109.4908,0.10949080000000001
1410000,32,30304155,112.5628,0.1125628
1420000,32,30571746,110.2851,0.11028510000000001
1430000,32,30853305,112.12849999999999,0.1121285
1440000,32,31117416,110.9527,0.1109527
1450000,32,31399534,113.44399999999999,0.113444
1460000,32,31668093,113.0735,0.11307350000000001
1470000,32,31938100,115.0855,0.11508550000000001
1480000,32,32226213,114.2957,0.11429570000000001
1490000,32,32494867,116.25649999999999,0.11625650000000001
1500000,32,32771508,117.5055,0.11750550000000001
1510000,32,33056783,117.3694,0.11736940000000001
1520000,32,33325927,118.70129999999999,0.11870130000000001
1530000,32,33608017,118.6879,0.11868790000000001
1540000,32,33894364,119.6244,0.1196244
1550000,32,34167566,122.28609999999999,0.12228610000000001
1560000,32,34455671,123.76889999999999,0.1237689
1570000,32,34730378,121.4104,0.1214104
1580000,32,35028405,125.5915,0.1255915
1590000,32,35310677,122.9576,0.12295760000000001
1600000,32,35596574,125.1503,0.12515030000000002
1610000,32,35870832,125.4913,0.1254913
1620000,32,36160856,126.503,0.126503
1630000,32,36451657,129.42409999999998,0.12942410000000001
1640000,32,36729300,126.982,0.126982
1650000,32,37034861,130.1829,0.13018290000000002
1660000,32,37307485,132.6465,0.1326465
1670000,32,37595898,131.3756,0.1313756
1680000,32,37892074,133.8014,0.13380140000000001
1690000,32,38187508,137.9624,0.1379624
1700000,32,38466288,131.76139999999998,0.1317614
1710000,32,38771315,135.9134,0.13591340000000002
1720000,32,39059674,134.8932,0.13489320000000002
1730000,32,39365577,136.9923,0.1369923
1740000,32,39647918,135.0638,0.1350638
1750000,32,39953151,139.4048,0.1394048
1760000,32,40260620,138.51,0.13851000000000002
1770000,32,40547897,137.6748,0.1376748
1780000,32,40843670,139.4125,0.13941250000000002
1790000,32,41154192,141.369,0.14136900000000002
1800000,32,41449897,140.0153,0.1400153
1810000,32,41738498,142.297,0.142297
1820000,32,42055934,143.2704,0.14327040000000002
1830000,32,42351029,147.2163,0.14721630000000002
1840000,32,42652908,143.8018,0.1438018
1850000,32,42962306,144.6523,0.1446523
1860000,32,43272371,145.78019999999998,0.1457802
1870000,32,43564888,148.1609,0.1481609
1880000,32,43886975,148.2191,0.14821910000000002
1890000,32,44189552,150.6582,0.15065820000000002
1900000,32,44477219,147.77609999999999,0.14777610000000002
1910000,32,44799471,151.4467,0.15144670000000002
1920000,32,45108449,151.559,0.151559
1930000,32,45430445,151.4564,0.15145640000000002
1940000,32,45741160,152.7732,0.1527732
1950000,32,46040902,153.3143,0.15331430000000001
1960000,32,46340813,154.1018,0.1541018
1970000,32,46668785,156.9408,0.15694080000000002
1980000,32,46985817,154.4778,0.1544778
1990000,32,47314118,162.87699999999998,0.16287700000000002
2000000,32,47609797,156.65869999999998,0.1566587
2010000,32,47933281,158.0631,0.1580631
2020000,32,48239959,157.56189999999998,0.1575619
2030000,32,48571775,160.4196,0.16041960000000002
2040000,32,48882394,158.6156,0.15861560000000002
2050000,32,49198180,162.5061,0.16250610000000001
2060000,32,49516452,160.4649,0.16046490000000002
2070000,32,49842966,163.1063,0.1631063
2080000,32,50171639,163.6072,0.1636072
2090000,32,50481201,167.8876,0.1678876
2100000,32,50510232,164.738,0.16473800000000002
2110000,32,49757988,168.3322,0.16833220000000002
2120000,32,49012883,171.4426,0.1714426
2130000,32,48257277,173.28979999999999,0.17328980000000002
2140000,32,47492318,175.8424,0.1758424
2150000,32,46753415,176.0899,0.17608990000000002
2160000,32,46003612,176.0644,0.1760644
2170000,32,45987883,180.41459999999998,0.1804146
2180000,32,46237322,178.7933,0.17879330000000002
2190000,32,46496201,180.28189999999998,0.18028190000000002
2200000,32,46752309,181.00789999999998,0.1810079
2210000,32,47008220,181.8225,0.1818225
2220000,32,47267331,183.1062,0.18310620000000002
2230000,32,47516813,182.23239999999998,0.18223240000000002
2240000,32,47787797,183.6359,0.18363590000000002
2250000,32,48039701,183.7892,0.1837892
2260000,32,48305700,186.3486,0.1863486
2270000,32,48560031,185.7261,0.1857261
2280000,32,48826956,188.17239999999998,0.18817240000000002
2290000,32,49089560,187.19119999999998,0.1871912
2300000,32,49341701,189.3459,0.1893459
2310000,32,49609034,190.727,0.190727
2320000,32,49862114,191.3982,0.19139820000000002
2330000,32,50121626,190.9573,0.19095730000000002
2340000,32,50386769,191.41479999999999,0.19141480000000002
2350000,32,50649817,191.8578,0.19185780000000002
2360000,32,50900025,194.2959,0.19429590000000002
2370000,32,51175146,195.02009999999999,0.1950201
2380000,32,51440719,197.22119999999998,0.1972212
2390000,32,51704676,199.4448,0.1994448
2400000,32,51966086,198.1242,0.1981242
2410000,32,52234497,197.3665,0.1973665
2420000,32,52504100,197.9433,0.19794330000000002
2430000,32,52762127,198.87519999999998,0.1988752
2440000,32,53038690,206.069,0.206069
2450000,32,53297366,201.4534,0.2014534
2460000,32,53566187,202.2573,0.2022573
2470000,32,53837506,202.73989999999998,0.2027399
2480000,32,54103664,204.31199999999998,0.20431200000000002
2490000,32,54368838,208.40699999999998,0.208407
2500000,32,54621691,204.3328,0.2043328
2510000,32,54905722,206.6385,0.2066385
2520000,32,55180985,206.4297,0.20642970000000002
2530000,32,55443475,208.8808,0.2088808
2540000,32,55710162,211.4981,0.21149810000000002
2550000,32,55989446,209.7149,0.2097149
2560000,32,56260036,213.5058,0.21350580000000002
2570000,32,56525925,210.4656,0.2104656
2580000,32,56801099,210.73309999999998,0.2107331
2590000,32,57065033,212.5044,0.2125044
2600000,32,57341628,213.9467,0.21394670000000002
2610000,32,57615774,220.4466,0.22044660000000002
2620000,32,57886636,214.7619,0.2147619
