Vertices,Density,Time taken(ms)
461,200,61088
462,200,64579
463,200,61182
464,200,64124
465,200,65659
466,200,65352
467,200,62565
468,200,64552
469,200,65848
470,200,68489
471,200,65218
472,200,64891
473,200,63785
474,200,68036
475,200,68706
476,200,70820
477,200,67456
478,200,68824
479,200,65683
480,200,68239
481,200,70998
482,200,70093
483,200,67219
484,200,66746
485,200,67298
486,200,66668
487,200,69807
488,200,71115
489,200,71630
490,200,71503
491,200,68840
492,200,67852
493,200,70974
494,200,69461
495,200,68890
496,200,73387
497,200,71791
498,200,74581
499,200,71501
500,200,74564
