Size(n),S,Key Comparisons,Time(ms),Time(s)
10000000,1,217954314,1219.029417,1.219029417
10000000,2,217954314,1087.1813339999999,1.087181334
10000000,3,217954972,1090.244708,1.0902447080000002
10000000,4,218076652,1060.859375,1.0608593750000002
10000000,5,218961986,1031.285792,1.031285792
10000000,6,218961986,1031.846666,1.031846666
10000000,7,218961986,1032.574875,1.0325748750000001
10000000,8,218961986,1036.150625,1.036150625
10000000,9,221000088,1028.2165,1.0282165
10000000,10,224267475,1013.5398749999999,1.013539875
10000000,11,224267475,1010.1502499999999,1.0101502500000001
10000000,12,224267475,1015.360916,1.0153609160000001
10000000,13,224267475,1011.8026249999999,1.011802625
10000000,14,224267475,1010.9410829999999,1.010941083
10000000,15,224267475,1011.305167,1.0113051670000002
10000000,16,224267475,1010.6190829999999,1.0106190830000001
10000000,17,224267475,1011.1814159999999,1.011181416
10000000,18,224267475,1023.510625,1.0235106250000001
10000000,19,238849041,996.8583329999999,0.996858333
10000000,20,240164451,994.0347079999999,0.994034708
10000000,21,240164451,996.253208,0.9962532080000001
10000000,22,240164451,995.249833,0.995249833
10000000,23,240164451,994.5015,0.9945015
10000000,24,240164451,995.504208,0.9955042080000001
10000000,25,240164451,993.8043329999999,0.993804333
10000000,26,240164451,992.694083,0.9926940830000001
10000000,27,240164451,992.056292,0.9920562920000001
10000000,28,240164451,992.344667,0.992344667
10000000,29,240164451,994.2027919999999,0.9942027920000001
10000000,30,240164451,995.882834,0.9958828340000001
10000000,31,240164451,994.0744579999999,0.994074458
10000000,32,240164451,994.8248329999999,0.994824833
10000000,33,240164451,995.287917,0.9952879170000001
10000000,34,240164451,993.7311249999999,0.993731125
10000000,35,240164451,994.633334,0.9946333340000001
10000000,36,240164451,994.887583,0.994887583
10000000,37,240164451,994.8824589999999,0.994882459
10000000,38,273089590,1018.5714999999999,1.0185715
10000000,39,279082180,1029.3625419999998,1.029362542
10000000,40,279082180,1021.14275,1.02114275
10000000,41,279082180,1019.758792,1.019758792
10000000,42,279082180,1046.78075,1.0467807500000001
10000000,43,279082180,1022.248917,1.022248917
10000000,44,279082180,1021.8165409999999,1.021816541
10000000,45,279082180,1021.401584,1.0214015840000001
10000000,46,279082180,1023.339709,1.023339709
10000000,47,279082180,1023.4778329999999,1.023477833
10000000,48,279082180,1029.8286249999999,1.0298286250000002
10000000,49,279082180,1019.8434579999999,1.019843458
10000000,50,279082180,1019.755042,1.0197550420000001
10000000,51,279082180,1024.679916,1.024679916
10000000,52,279082180,1030.611958,1.0306119580000002
10000000,53,279082180,1029.665875,1.029665875
10000000,54,279082180,1020.6079159999999,1.0206079160000001
10000000,55,279082180,1022.685125,1.022685125
10000000,56,279082180,1019.970459,1.019970459
10000000,57,279082180,1037.0546669999999,1.037054667
10000000,58,279082180,1022.231375,1.022231375
10000000,59,279082180,1020.4143329999999,1.0204143330000002
10000000,60,279082180,1020.5688749999999,1.0205688750000002
10000000,61,279082180,1019.7474169999999,1.019747417
10000000,62,279082180,1021.393875,1.021393875
10000000,63,279082180,1036.350583,1.0363505830000002
10000000,64,279082180,1025.752459,1.025752459
10000000,65,279082180,1026.962625,1.0269626250000001
10000000,66,279082180,1032.804625,1.032804625
10000000,67,279082180,1019.8919589999999,1.019891959
10000000,68,279082180,1021.1168339999999,1.021116834
10000000,69,279082180,1021.0844999999999,1.0210845000000002
10000000,70,279082180,1020.1514579999999,1.020151458
10000000,71,279082180,1021.116417,1.021116417
10000000,72,279082180,1027.255625,1.027255625
10000000,73,279082180,1022.27725,1.0222772500000001
10000000,74,279082180,1022.6395,1.0226395000000001
10000000,75,279082180,1024.258458,1.024258458
10000000,76,339353381,1084.444583,1.084444583
10000000,77,365107337,1111.968458,1.111968458
10000000,78,365107337,1121.837834,1.1218378340000001
10000000,79,365107337,1127.524917,1.1275249170000001
10000000,80,365107337,1119.8832499999999,1.11988325
10000000,81,365107337,1112.262417,1.1122624170000002
10000000,82,365107337,1111.319125,1.111319125
10000000,83,365107337,1117.6493329999998,1.1176493330000001
10000000,84,365107337,1120.278916,1.1202789160000002
10000000,85,365107337,1108.86025,1.10886025
10000000,86,365107337,1109.261375,1.109261375
10000000,87,365107337,1109.063125,1.109063125
10000000,88,365107337,1120.208208,1.120208208
10000000,89,365107337,1107.1035829999998,1.107103583
10000000,90,365107337,1109.382167,1.1093821670000001
10000000,91,365107337,1108.487833,1.108487833
10000000,92,365107337,1108.3115,1.1083115000000001
10000000,93,365107337,1115.117084,1.115117084
10000000,94,365107337,1107.131375,1.107131375
10000000,95,365107337,1108.152958,1.108152958
10000000,96,365107337,1108.043834,1.108043834
10000000,97,365107337,1107.314417,1.107314417
10000000,98,365107337,1106.655959,1.106655959
10000000,99,365107337,1106.131625,1.1061316250000002
10000000,100,365107337,1107.4876669999999,1.107487667
10000000,101,365107337,1108.221,1.1082210000000001
10000000,102,365107337,1106.656292,1.106656292
10000000,103,365107337,1109.9467499999998,1.10994675
10000000,104,365107337,1107.577,1.107577
10000000,105,365107337,1108.410333,1.1084103330000001
10000000,106,365107337,1107.033,1.1070330000000002
10000000,107,365107337,1107.614709,1.1076147090000001
10000000,108,365107337,1106.705542,1.106705542
10000000,109,365107337,1108.711042,1.1087110420000001
10000000,110,365107337,1108.081042,1.108081042
10000000,111,365107337,1107.561542,1.107561542
10000000,112,365107337,1122.256834,1.122256834
10000000,113,365107337,1107.091833,1.1070918330000001
10000000,114,365107337,1108.720708,1.108720708
10000000,115,365107337,1108.8235419999999,1.108823542
10000000,116,365107337,1111.032542,1.111032542
